timestamp,scan_number,cov_x,cov_y,cov_theta,std_x,std_y,std_theta,pos_uncertainty,orient_uncertainty,active_landmarks,state_size,landmark_updates,total_landmark_obs
13.693,92,0.0007491980477225098,3.849909457743806e-05,8.784519931545681e-05,0.027371482380801188,0.006204763861537203,0.009372576983703938,0.02806594274739311,0.009372576983703938,10,23,0,10
13.786,93,0.0007479986498037953,3.969955915585651e-05,8.767779626394369e-05,0.027349563978312258,0.0063007586174885725,0.009363642254162837,0.02806596175012807,0.009363642254162837,10,23,0,10
13.889,94,0.0007469783357729274,4.0731372345738064e-05,8.575306081370766e-05,0.027330904408250513,0.006382113470139658,0.00926029485565701,0.028066166608902352,0.00926029485565701,10,23,0,10
13.972,95,0.0006140252504540736,3.4572544376259586e-05,7.603265419815154e-05,0.024779532894186558,0.005879842206748373,0.008719670532660711,0.025467583215341285,0.008719670532660711,10,23,0,10
14.085,96,0.0008761691973512917,4.963363752391805e-05,8.663849797029696e-05,0.029600155360255995,0.007045114443635252,0.009307980337876578,0.030427008312931617,0.009307980337876578,10,23,0,10
14.186,97,0.0007466402033260507,4.3556450229791804e-05,8.174852488806712e-05,0.027324717808717636,0.006599731072535592,0.009041489085768292,0.028110436737195002,0.009041489085768292,10,23,0,10
14.287,98,0.0007445942058868387,4.425231560197963e-05,7.980779452422779e-05,0.02728725354239299,0.006652241396851112,0.008933520835831066,0.028086411687661676,0.008933520835831066,10,23,0,10
14.384,99,0.000743893739184984,4.5030862921359904e-05,7.887278210587036e-05,0.02727441546917154,0.006710503924546941,0.008881034968170679,0.028087801660264262,0.008881034968170679,10,23,0,10
14.487,100,0.0007432164046441888,4.577313376666716e-05,7.834637260823519e-05,0.027261995610083075,0.006765584510348471,0.008851348632170986,0.028088957588541016,0.008851348632170986,10,23,0,10
14.622,101,8.39091188540765e-05,6.89886275194806e-06,4.390695561222993e-05,0.009160192075173778,0.0026265686269252627,0.0066262323844119685,0.009529322200766672,0.0066262323844119685,10,23,0,10
14.694,102,0.001400663965247648,8.66876946298116e-05,0.00011203528216844756,0.03742544542483961,0.009310622676803717,0.010584672038776052,0.0385661984110109,0.010584672038776052,10,23,0,10
14.789,103,0.0019202003410510513,0.00011872946407330903,0.00013937302774096538,0.04382009060979965,0.010896305065172737,0.011805635423007327,0.045154510351950006,0.011805635423007327,10,23,0,10
14.886,104,0.0023911754448101433,0.00014775436031462275,0.0001643730277410237,0.048899646673673865,0.012155425139197014,0.012820804488838588,0.05038779420777185,0.012820804488838588,10,23,0,10
14.992,105,0.0028896972412444646,0.00017852438705936983,0.00019021379272570932,0.05375590424543582,0.01336130184747616,0.013791801649012695,0.05539153029393424,0.013791801649012695,10,23,0,10
